Rate,Timestamp
1.64962,2017-03-21 00:00:00
1.66739,2017-03-22 00:00:00
1.66912,2017-03-23 00:00:00
1.67085,2017-03-24 00:00:00
1.66845,2017-03-25 00:00:00
1.66839,2017-03-26 00:00:00
1.66768,2017-03-27 00:00:00
1.68089,2017-03-28 00:00:00
1.66973,2017-03-29 00:00:00
1.65858,2017-03-30 00:00:00
1.66359,2017-03-31 00:00:00
1.67098,2017-04-01 00:00:00
1.67098,2017-04-02 00:00:00
1.6708,2017-04-03 00:00:00
1.67191,2017-04-04 00:00:00
1.67477,2017-04-05 00:00:00
1.67764,2017-04-06 00:00:00
1.67319,2017-04-07 00:00:00
1.65647,2017-04-08 00:00:00
1.65627,2017-04-09 00:00:00
1.65931,2017-04-10 00:00:00
1.66196,2017-04-11 00:00:00
1.6646,2017-04-12 00:00:00
1.66196,2017-04-13 00:00:00
1.66773,2017-04-14 00:00:00
1.66916,2017-04-15 00:00:00
1.66888,2017-04-16 00:00:00
1.67115,2017-04-17 00:00:00
1.67343,2017-04-18 00:00:00
1.71878,2017-04-19 00:00:00
1.72319,2017-04-20 00:00:00
1.72542,2017-04-21 00:00:00
1.72987,2017-04-22 00:00:00
1.72993,2017-04-23 00:00:00
1.7306,2017-04-24 00:00:00
1.73128,2017-04-25 00:00:00
1.74163,2017-04-26 00:00:00
1.74989,2017-04-27 00:00:00
1.75694,2017-04-28 00:00:00
1.76866,2017-04-29 00:00:00
1.76629,2017-04-30 00:00:00
1.76392,2017-05-01 00:00:00
1.76354,2017-05-02 00:00:00
1.77383,2017-05-03 00:00:00
1.76701,2017-05-04 00:00:00
1.77757,2017-05-05 00:00:00
1.77473,2017-05-06 00:00:00
1.7719,2017-05-07 00:00:00
1.77242,2017-05-08 00:00:00
1.7721,2017-05-09 00:00:00
1.77509,2017-05-10 00:00:00
1.77286,2017-05-11 00:00:00
1.76626,2017-05-12 00:00:00
1.76652,2017-05-13 00:00:00
1.76679,2017-05-14 00:00:00
1.76751,2017-05-15 00:00:00
1.7587,2017-05-16 00:00:00
1.75832,2017-05-17 00:00:00
1.764,2017-05-18 00:00:00
1.76263,2017-05-19 00:00:00
1.76126,2017-05-20 00:00:00
1.76114,2017-05-21 00:00:00
1.75868,2017-05-22 00:00:00
1.75328,2017-05-23 00:00:00
1.75192,2017-05-24 00:00:00
1.74778,2017-05-25 00:00:00
1.74363,2017-05-26 00:00:00
1.72221,2017-05-27 00:00:00
1.72182,2017-05-28 00:00:00
1.72387,2017-05-29 00:00:00
1.72665,2017-05-30 00:00:00
1.72552,2017-05-31 00:00:00
1.73361,2017-06-01 00:00:00
1.74171,2017-06-02 00:00:00
1.73843,2017-06-03 00:00:00
1.7385,2017-06-04 00:00:00
1.73725,2017-06-05 00:00:00
1.7396,2017-06-06 00:00:00
1.74544,2017-06-07 00:00:00
1.75128,2017-06-08 00:00:00
1.72068,2017-06-09 00:00:00
1.71588,2017-06-10 00:00:00
1.71598,2017-06-11 00:00:00
1.71464,2017-06-12 00:00:00
1.68648,2017-06-13 00:00:00
1.68773,2017-06-14 00:00:00
1.68899,2017-06-15 00:00:00
1.69124,2017-06-16 00:00:00
1.68839,2017-06-17 00:00:00
1.6884,2017-06-18 00:00:00
1.68829,2017-06-19 00:00:00
1.6823,2017-06-20 00:00:00
1.6763,2017-06-21 00:00:00
1.68928,2017-06-22 00:00:00
1.67756,2017-06-23 00:00:00
1.68687,2017-06-24 00:00:00
1.68633,2017-06-25 00:00:00
1.68656,2017-06-26 00:00:00
1.68679,2017-06-27 00:00:00
1.68929,2017-06-28 00:00:00
1.68736,2017-06-29 00:00:00
1.69056,2017-06-30 00:00:00
1.68877,2017-07-01 00:00:00
1.68885,2017-07-02 00:00:00
1.6855,2017-07-03 00:00:00
1.68215,2017-07-04 00:00:00
1.67289,2017-07-05 00:00:00
1.67604,2017-07-06 00:00:00
1.6834,2017-07-07 00:00:00
1.65908,2017-07-08 00:00:00
1.65995,2017-07-09 00:00:00
1.66081,2017-07-10 00:00:00
1.66086,2017-07-11 00:00:00
1.66019,2017-07-12 00:00:00
1.64376,2017-07-13 00:00:00
1.64778,2017-07-14 00:00:00
1.65185,2017-07-15 00:00:00
1.65592,2017-07-16 00:00:00
1.65745,2017-07-17 00:00:00
1.65726,2017-07-18 00:00:00
1.6469,2017-07-19 00:00:00
1.64202,2017-07-20 00:00:00
1.63309,2017-07-21 00:00:00
1.63123,2017-07-22 00:00:00
1.62938,2017-07-23 00:00:00
1.63005,2017-07-24 00:00:00
1.62923,2017-07-25 00:00:00
1.6293,2017-07-26 00:00:00
1.63306,2017-07-27 00:00:00
1.633,2017-07-28 00:00:00
1.63294,2017-07-29 00:00:00
1.63277,2017-07-30 00:00:00
1.63811,2017-07-31 00:00:00
1.65067,2017-08-01 00:00:00
1.65719,2017-08-02 00:00:00
1.65461,2017-08-03 00:00:00
1.65203,2017-08-04 00:00:00
1.64961,2017-08-05 00:00:00
1.64878,2017-08-06 00:00:00
1.64957,2017-08-07 00:00:00
1.6525,2017-08-08 00:00:00
1.64547,2017-08-09 00:00:00
1.64932,2017-08-10 00:00:00
1.65317,2017-08-11 00:00:00
1.64935,2017-08-12 00:00:00
1.64884,2017-08-13 00:00:00
1.64835,2017-08-14 00:00:00
1.65012,2017-08-15 00:00:00
1.63876,2017-08-16 00:00:00
1.6274,2017-08-17 00:00:00
1.63211,2017-08-18 00:00:00
1.61989,2017-08-19 00:00:00
1.61977,2017-08-20 00:00:00
1.62028,2017-08-21 00:00:00
1.61992,2017-08-22 00:00:00
1.61297,2017-08-23 00:00:00
1.60602,2017-08-24 00:00:00
1.60213,2017-08-25 00:00:00
1.60781,2017-08-26 00:00:00
1.60755,2017-08-27 00:00:00
1.60965,2017-08-28 00:00:00
1.61348,2017-08-29 00:00:00
1.61731,2017-08-30 00:00:00
1.63159,2017-08-31 00:00:00
1.61406,2017-09-01 00:00:00
1.60549,2017-09-02 00:00:00
1.60541,2017-09-03 00:00:00
1.60487,2017-09-04 00:00:00
1.60433,2017-09-05 00:00:00
1.61305,2017-09-06 00:00:00
1.59621,2017-09-07 00:00:00
1.58706,2017-09-08 00:00:00
1.60434,2017-09-09 00:00:00
1.60432,2017-09-10 00:00:00
1.59943,2017-09-11 00:00:00
1.59454,2017-09-12 00:00:00
1.61786,2017-09-13 00:00:00
1.60707,2017-09-14 00:00:00
1.62969,2017-09-15 00:00:00
1.65726,2017-09-16 00:00:00
1.65671,2017-09-17 00:00:00
1.65617,2017-09-18 00:00:00
1.65996,2017-09-19 00:00:00
1.66144,2017-09-20 00:00:00
1.66518,2017-09-21 00:00:00
1.67353,2017-09-22 00:00:00
1.66901,2017-09-23 00:00:00
1.66449,2017-09-24 00:00:00
1.66762,2017-09-25 00:00:00
1.66723,2017-09-26 00:00:00
1.66225,2017-09-27 00:00:00
1.67246,2017-09-28 00:00:00
1.67011,2017-09-29 00:00:00
1.67018,2017-09-30 00:00:00
1.67025,2017-10-01 00:00:00
1.67011,2017-10-02 00:00:00
1.66096,2017-10-03 00:00:00
1.65408,2017-10-04 00:00:00
1.65165,2017-10-05 00:00:00
1.6445,2017-10-06 00:00:00
1.63735,2017-10-07 00:00:00
1.63715,2017-10-08 00:00:00
1.64029,2017-10-09 00:00:00
1.64981,2017-10-10 00:00:00
1.65282,2017-10-11 00:00:00
1.65386,2017-10-12 00:00:00
1.65489,2017-10-13 00:00:00
1.65651,2017-10-14 00:00:00
1.6555,2017-10-15 00:00:00
1.65832,2017-10-16 00:00:00
1.66,2017-10-17 00:00:00
1.64905,2017-10-18 00:00:00
1.64524,2017-10-19 00:00:00
1.64142,2017-10-20 00:00:00
1.66551,2017-10-21 00:00:00
1.66447,2017-10-22 00:00:00
1.66696,2017-10-23 00:00:00
1.66912,2017-10-24 00:00:00
1.68372,2017-10-25 00:00:00
1.69832,2017-10-26 00:00:00
1.68725,2017-10-27 00:00:00
1.68208,2017-10-28 00:00:00
1.6811,2017-10-29 00:00:00
1.68522,2017-10-30 00:00:00
1.69938,2017-10-31 00:00:00
1.71355,2017-11-01 00:00:00
1.70649,2017-11-02 00:00:00
1.67166,2017-11-03 00:00:00
1.66834,2017-11-04 00:00:00
1.66876,2017-11-05 00:00:00
1.66918,2017-11-06 00:00:00
1.67518,2017-11-07 00:00:00
1.68119,2017-11-08 00:00:00
1.66904,2017-11-09 00:00:00
1.66656,2017-11-10 00:00:00
1.67344,2017-11-11 00:00:00
1.67201,2017-11-12 00:00:00
1.67158,2017-11-13 00:00:00
1.67114,2017-11-14 00:00:00
1.67599,2017-11-15 00:00:00
1.68205,2017-11-16 00:00:00
1.68402,2017-11-17 00:00:00
1.68802,2017-11-18 00:00:00
1.68714,2017-11-19 00:00:00
1.69201,2017-11-20 00:00:00
1.69688,2017-11-21 00:00:00
1.69201,2017-11-22 00:00:00
1.69211,2017-11-23 00:00:00
1.6916,2017-11-24 00:00:00
1.69504,2017-11-25 00:00:00
1.69464,2017-11-26 00:00:00
1.69425,2017-11-27 00:00:00
1.69958,2017-11-28 00:00:00
1.71267,2017-11-29 00:00:00
1.72597,2017-11-30 00:00:00
1.74445,2017-12-01 00:00:00
1.72677,2017-12-02 00:00:00
1.70908,2017-12-03 00:00:00
1.71608,2017-12-04 00:00:00
1.70812,2017-12-05 00:00:00
1.70304,2017-12-06 00:00:00
1.7124,2017-12-07 00:00:00
1.73369,2017-12-08 00:00:00
1.72656,2017-12-09 00:00:00
1.71944,2017-12-10 00:00:00
1.72225,2017-12-11 00:00:00
1.7156,2017-12-12 00:00:00
1.71414,2017-12-13 00:00:00
1.71876,2017-12-14 00:00:00
1.71709,2017-12-15 00:00:00
1.71542,2017-12-16 00:00:00
1.7154,2017-12-17 00:00:00
1.71448,2017-12-18 00:00:00
1.72145,2017-12-19 00:00:00
1.72401,2017-12-20 00:00:00
1.71416,2017-12-21 00:00:00
1.70431,2017-12-22 00:00:00
1.70027,2017-12-23 00:00:00
1.69934,2017-12-24 00:00:00
1.69987,2017-12-25 00:00:00
1.70066,2017-12-26 00:00:00
1.69688,2017-12-27 00:00:00
1.69284,2017-12-28 00:00:00
1.6888,2017-12-29 00:00:00
1.69993,2017-12-30 00:00:00
1.6979,2017-12-31 00:00:00
1.69876,2018-01-01 00:00:00
1.69635,2018-01-02 00:00:00
1.69579,2018-01-03 00:00:00
1.69524,2018-01-04 00:00:00
1.69279,2018-01-05 00:00:00
1.68424,2018-01-06 00:00:00
1.68276,2018-01-07 00:00:00
1.68272,2018-01-08 00:00:00
1.68533,2018-01-09 00:00:00
1.68794,2018-01-10 00:00:00
1.69331,2018-01-11 00:00:00
1.69574,2018-01-12 00:00:00
1.71037,2018-01-13 00:00:00
1.70948,2018-01-14 00:00:00
1.71112,2018-01-15 00:00:00
1.71277,2018-01-16 00:00:00
1.71443,2018-01-17 00:00:00
1.72003,2018-01-18 00:00:00
1.72407,2018-01-19 00:00:00
1.73182,2018-01-20 00:00:00
1.73055,2018-01-21 00:00:00
1.736,2018-01-22 00:00:00
1.74145,2018-01-23 00:00:00
1.73976,2018-01-24 00:00:00
1.75651,2018-01-25 00:00:00
1.75169,2018-01-26 00:00:00
1.74382,2018-01-27 00:00:00
1.74254,2018-01-28 00:00:00
1.73931,2018-01-29 00:00:00
1.73609,2018-01-30 00:00:00
1.74626,2018-01-31 00:00:00
1.74709,2018-02-01 00:00:00
1.74905,2018-02-02 00:00:00
1.75397,2018-02-03 00:00:00
1.75418,2018-02-04 00:00:00
1.75438,2018-02-05 00:00:00
1.74823,2018-02-06 00:00:00
1.74524,2018-02-07 00:00:00
1.74418,2018-02-08 00:00:00
1.75445,2018-02-09 00:00:00
1.7469,2018-02-10 00:00:00
1.73936,2018-02-11 00:00:00
1.74039,2018-02-12 00:00:00
1.74245,2018-02-13 00:00:00
1.74797,2018-02-14 00:00:00
1.7496,2018-02-15 00:00:00
1.76067,2018-02-16 00:00:00
1.76016,2018-02-17 00:00:00
1.75965,2018-02-18 00:00:00
1.76191,2018-02-19 00:00:00
1.75855,2018-02-20 00:00:00
